query,seller_name,seller_id,rate
ghế lười hình quả lê,Phú Mỹ,77,0.85641025641025637
ghế lười quả lê,Phú Mỹ,77,0.83333333333333337
hạt xốp ghế lười,Phú Mỹ,77,0.82162162162162167
ghế lười?utm_source=google,Phú Mỹ,77,0.7384615384615385
ghế lưoi,Phú Mỹ,77,0.70183486238532111
ghé lười,Phú Mỹ,77,0.67361111111111116
julia,CHĂN GA GỐI CAO CẤP JULIA,83,0.85523385300668153
túi yuumy,LaTa,105,1.0
yuumi,LaTa,105,1.0
túi đeo chéo yuumy,LaTa,105,1.0
yuumy,LaTa,105,0.994989684644857
lata balo,LaTa,105,0.94857142857142862
túi đeo chéo nữ yuumy,LaTa,105,0.94586894586894588
ví lata,LaTa,105,0.94572748267898388
balo yuumy,LaTa,105,0.9273927392739274
túi  sách lata,LaTa,105,0.908675799086758
túi đeo chéo yuumy 03,LaTa,105,0.90163934426229508
túi đeo lata,LaTa,105,0.89308176100628933
túi lata hn62,LaTa,105,0.89075630252100846
ví nam lata,LaTa,105,0.89060092449922956
lata shop,LaTa,105,0.875
lata,LaTa,105,0.86475537550638826
ví da lata,LaTa,105,0.84897959183673466
ví da nam lata,LaTa,105,0.84520123839009287
túi lata,LaTa,105,0.83948339483394829
túi lata nữ,LaTa,105,0.83941605839416056
lata',LaTa,105,0.8375634517766497
dây nịt lata,LaTa,105,0.8359375
tui lata,LaTa,105,0.82971014492753625
balo lata,LaTa,105,0.81780366056572384
ba lô lata,LaTa,105,0.77184466019417475
túi xách thời trang lata,LaTa,105,0.77018633540372672
túi đeo chéo nữ lata,LaTa,105,0.76861167002012076
túi nữ lata,LaTa,105,0.76754385964912286
túi xách yuumy,LaTa,105,0.75
túi deo cheo nu,LaTa,105,0.70338983050847459
túi đựng điện thoại lata,LaTa,105,0.68823529411764706
túi đeo chéo lata,LaTa,105,0.66115155526141633
hộp đựng tai nghe marvel,Tuấn Tú Store,113,0.864
ipad air 2 case kaku,Tuấn Tú Store,113,0.74619289340101524
cường lực cho ipad pro gen2 12.9,Tuấn Tú Store,113,0.7
ibasic nam,iBasic,126,0.84851657940663172
i basic,iBasic,126,0.82478632478632474
ibasic,iBasic,126,0.76731040979745646
quan lot ibasic,iBasic,126,0.69822485207100593
drap lotus,Lotus Bedding,127,0.96047430830039526
lotus,Lotus Bedding,127,0.93131868131868134
xe nhựa chợ lớn,Nhựa Chợ Lớn,143,0.68702290076335881
vạn tường,Tranh Dán Tường Vạn Tường,144,0.95833333333333337
decal gia gach dan nen nha,Tranh Dán Tường Vạn Tường,144,0.94117647058823528
decal dán tường đẹp,Tranh Dán Tường Vạn Tường,144,0.83177570093457942
decal dán tường khung tranh,Tranh Dán Tường Vạn Tường,144,0.81889763779527558
tero,Fit Consumer,146,1.0
sữa tắm nuwhite,Fit Consumer,146,0.68103448275862066
nước giặt tero,Fit Consumer,146,0.67272727272727273
pantone,Sáo Diều Media,148,0.77777777777777779
merly,Merlyshoes,161,1.0
merly shoes,Merlyshoes,161,1.0
giày merly,Merlyshoes,161,1.0
giày nữ bít mũi có dây cổ chân,Merlyshoes,161,0.74853801169590639
bluboo,Otel Mobile,190,0.67796610169491522
thân nhiệt chìa khóa để sống khỏe mạnh và trường thọ,Vinabook JSC,197,0.68354430379746833
gan nhu la nha,Vinabook JSC,197,0.66233766233766234
tip bọt biển,TechTown,202,1.0
kz zs10,TechTown,202,0.99350649350649356
funcl ai,TechTown,202,0.9932432432432432
hukey,TechTown,202,0.99212598425196852
kz zs10 pro,TechTown,202,0.85981308411214952
kz zsn,TechTown,202,0.82151589242053791
kz zsn pro,TechTown,202,0.79245283018867929
tai nghe kz zsn,TechTown,202,0.7846153846153846
fairy corner,Fairy Corner,210,0.7678571428571429
cà phê phố,Thành Thuận Thiên,211,0.87676056338028174
cafe phố,Thành Thuận Thiên,211,0.81990521327014221
quần nam hoạt hinh,Thời Trang Viết Minh,221,0.67307692307692313
ekoko,Ekoko handmade,227,1.0
ringo,Tuyền Hưng Phú,235,0.78640776699029125
viethoney,Viethoney,247,0.776536312849162
hity,Hity – lifestyle your way,255,0.97115384615384615
flydigi q1,Promax Shop,259,0.98518518518518516
the basic,Áo - Thời trang Ngọc Việt,264,1.0
envymen,Áo - Thời trang Ngọc Việt,264,0.84615384615384615
áo thun nam cổ tim envymen a2tr011 - trắng,Áo - Thời trang Ngọc Việt,264,0.77586206896551724
sanka,Cửa hàng Nhật Bản Hachi Hachi,282,0.92886456908344728
những sinh vật í ẹ,CrabitNoteBuck,284,0.79375
dép spenco,Steps Việt Nam,302,1.0
spenco,Steps Việt Nam,302,0.85681293302540418
cellfast,Ban Công Xanh,307,1.0
dorco,DORCO VIỆT NAM,308,0.99307958477508651
lưỡi lam,DORCO VIỆT NAM,308,0.7455357142857143
đầm eden,Thời Trang Eden,311,1.0
thoi trang eden,Thời Trang Eden,311,1.0
ao eden,Thời Trang Eden,311,1.0
thơi trang eden,Thời Trang Eden,311,1.0
eden,Thời Trang Eden,311,0.97134083930399184
dam eden,Thời Trang Eden,311,0.95879120879120883
eden fashion,Thời Trang Eden,311,0.86363636363636365
đầm suông eden,Thời Trang Eden,311,0.82558139534883723
thời trang eden,Thời Trang Eden,311,0.738498789346247
zono,Chọn Giá Rẻ,321,0.77586206896551724
royal walk,Song Nghi,325,1.0
yf,Thời Trang Trẻ Em YF,327,1.0
chảo chống dính 2 quai,Trung Tâm Mua Sắm Raiden,329,0.88235294117647056
chao 2 quai,Trung Tâm Mua Sắm Raiden,329,0.78688524590163933
fornix bt301,Fornix Shop,337,1.0
fornix fm26,Fornix Shop,337,0.96190476190476193
xe đạp thể thao fornix,Fornix Shop,337,0.90153846153846151
xe đạp fornix,Fornix Shop,337,0.88512820512820511
xe dap fornix,Fornix Shop,337,0.8812664907651715
fornix,Fornix Shop,337,0.77967032967032968
paper like,Nhà Giả Kim,338,0.99358974358974361
paperlike,Nhà Giả Kim,338,0.98333333333333328
bao da kindle paperwhite 2018 gen 4 10th,Nhà Giả Kim,338,0.74193548387096775
kindle paperwhite 2018 bao,Nhà Giả Kim,338,0.66981132075471694
bao da kindle paperwhite gen 4 2018,Nhà Giả Kim,338,0.65714285714285714
wurth,Hi Buddy Shop,359,0.864
tranh gạo,Tranh Gạo Thái Hoàng,370,0.91737545565006073
kentom,Đại Phát Tài,389,0.6692913385826772
quần sịp voga,Voga Underwear,410,1.0
quan lot voga,Voga Underwear,410,1.0
quan voga,Voga Underwear,410,1.0
vớ voga,Voga Underwear,410,1.0
quần lót voga,Voga Underwear,410,0.98305084745762716
voga underwear,Voga Underwear,410,0.92664092664092668
voga,Voga Underwear,410,0.84403669724770647
túi haras,HARASMALL,416,0.88461538461538458
balo laptop haras,HARASMALL,416,0.73913043478260865
ba lô haras,HARASMALL,416,0.73333333333333328
haras,HARASMALL,416,0.67343890050791755
smoovy,Việt Đức,418,1.0
thebrashop,Thebrashop,420,1.0
áo ngực thebrashop,Thebrashop,420,1.0
minilabo,ODA CURTAIN,421,1.0
màn rèm cửa may sẵn,ODA CURTAIN,421,0.99319727891156462
rèm cửa nhật bản,ODA CURTAIN,421,0.990990990990991
rèm cửa 200×100,ODA CURTAIN,421,0.99065420560747663
man cua nhat ban,ODA CURTAIN,421,0.98920863309352514
rèm cửa oda,ODA CURTAIN,421,0.98148148148148151
rèm cửa nhật,ODA CURTAIN,421,0.97948717948717945
rèm trắng nhật,ODA CURTAIN,421,0.97857142857142854
rèm cửa chan sang,ODA CURTAIN,421,0.97222222222222221
rèm cửa 3m,ODA CURTAIN,421,0.96212121212121215
rem vai,ODA CURTAIN,421,0.96045197740113
rèm cửa dài,ODA CURTAIN,421,0.93913043478260871
rèm cửa nhật bản moreno 230 x 100cm,ODA CURTAIN,421,0.93333333333333335
màn rèm cửa lớn,ODA CURTAIN,421,0.92307692307692313
rèm thường,ODA CURTAIN,421,0.92063492063492058
rem sao cua so,ODA CURTAIN,421,0.91129032258064513
rèm cửa nhật bản,ODA CURTAIN,421,0.90733159657610718
rèm caro,ODA CURTAIN,421,0.90434782608695652
rem cửa,ODA CURTAIN,421,0.90384615384615385
rèm cưa,ODA CURTAIN,421,0.89940828402366868
rèm nhật bản,ODA CURTAIN,421,0.89389067524115751
cửa rèm,ODA CURTAIN,421,0.88888888888888884
rèm cửa nhật,ODA CURTAIN,421,0.88082901554404147
rèm cửa lớn,ODA CURTAIN,421,0.86513994910941472
rèm cửa may sẵn,ODA CURTAIN,421,0.85576923076923073
rèm cửa kèm khung,ODA CURTAIN,421,0.853448275862069
khoen rèm cửa,ODA CURTAIN,421,0.8529411764705882
rèm màn cửa,ODA CURTAIN,421,0.84375
rèm cửa,ODA CURTAIN,421,0.84290540540540537
rem cua,ODA CURTAIN,421,0.84210526315789469
rèm nilon,ODA CURTAIN,421,0.84105960264900659
rèm,ODA CURTAIN,421,0.83439490445859876
rèm cửa chắn sáng,ODA CURTAIN,421,0.82733812949640284
rèm cửa,ODA CURTAIN,421,0.82359492713269522
rèm trang trí nhà cửa,ODA CURTAIN,421,0.82352941176470584
rèm cửa chính 3m2,ODA CURTAIN,421,0.82269503546099287
rèm cửa voan mỏng,ODA CURTAIN,421,0.82051282051282048
rèm cửa màu hồng,ODA CURTAIN,421,0.81388012618296535
rèm cửa vintage,ODA CURTAIN,421,0.81118881118881114
dèm cửa,ODA CURTAIN,421,0.803921568627451
rèm cửa trắng,ODA CURTAIN,421,0.7995495495495496
rèm,ODA CURTAIN,421,0.79539537495533208
rèm cua,ODA CURTAIN,421,0.78005865102639294
rèm roman,ODA CURTAIN,421,0.77586206896551724
rem cua soãnh,ODA CURTAIN,421,0.77551020408163263
thanh treo rèm cửa,ODA CURTAIN,421,0.7728102189781022
rèm cửa voan,ODA CURTAIN,421,0.76549865229110514
rèm của,ODA CURTAIN,421,0.76388888888888884
rèm cửa 1m,ODA CURTAIN,421,0.76315789473684215
rèm cửa phòng,ODA CURTAIN,421,0.75471698113207553
rem cua chinh,ODA CURTAIN,421,0.75423728813559321
rèm cửa voan trắng,ODA CURTAIN,421,0.75
rèm treo cửa,ODA CURTAIN,421,0.74695863746958635
màn cửa,ODA CURTAIN,421,0.73684210526315785
vải rèm cửa,ODA CURTAIN,421,0.73333333333333328
rem cua,ODA CURTAIN,421,0.73147893142385023
rèm cửa vải voan,ODA CURTAIN,421,0.72950819672131151
màn cửa,ODA CURTAIN,421,0.72027408303103591
rèm cửa,ODA CURTAIN,421,0.71241830065359479
rèm cửa chính,ODA CURTAIN,421,0.71078180889115994
rèm cửa sổ 2 lớp,ODA CURTAIN,421,0.70992366412213737
màn che cửa,ODA CURTAIN,421,0.7
mành rèm,ODA CURTAIN,421,0.69811320754716977
rèm cửa hàn quốc,ODA CURTAIN,421,0.6875
rèm spa,ODA CURTAIN,421,0.68161434977578472
rèm cửa sổ,ODA CURTAIN,421,0.68122270742358082
rèm cửa hanumu,ODA CURTAIN,421,0.68
rèm cửa vải,ODA CURTAIN,421,0.68
